"stop_id","suspect_race_description","demeanor_of_person_stopped"
"2019-7420",BLACK,NORMAL
"2019-7421",BLACK,NORMAL
"2019-7422",BLACK,CALM
"2019-7425",BLACK,"CALM, QUESTIONING"
"2019-7426",BLACK,NERVOUS
"2019-7428",BLACK,COMPLIANT
"2019-7429",BLACK,COMPLIANT
"2019-7430",BLACK,FLEEING THEN COMBATIVE
"2019-7431",BLACK,VERY CALM
"2019-7432",BLACK,ANGRY
"2019-7434",BLACK,NERVOUS
"2019-7435",BLACK,CALM
"2019-7436",BLACK,UPSET
"2019-7437",BLACK,NERVOUS
"2019-7438",BLACK,CALM
"2019-7439",BLACK,NERVOUS
"2019-7440",BLACK,CALM
"2019-7441",BLACK,CALM
"2019-7442",WHITE,VERY CALM AND COOPERATIVE
"2019-7443",BLACK,CALM
"2019-7444",BLACK,CALM
"2019-7445",BLACK,UPSET
"2019-7446",BLACK,AGITATED
"2019-7447",WHITE HISPANIC,CALM
"2019-7448",BLACK,COMPLIANT
"2019-7449",BLACK,COMPLIANT
"2019-7450",BLACK,NERVOUS
"2019-7451",BLACK,NERVOUS
"2019-7452",BLACK,UPSET
"2019-7453",BLACK,CALM
"2019-7454",BLACK,CALM
"2019-7455","",IRATE
"2019-7456",BLACK,IRATE
"2019-7457",BLACK,"AGRESSIVE, VIOLENT, UNCOOPERATIVE"
"2019-7458",BLACK,AGITATED AND AGGRESIVE
"2019-7459",BLACK,CALM
"2019-7460",BLACK,CALM
"2019-7461",BLACK,CALM/HAPPY
"2019-7462",BLACK,CALM/HAPPY
"2019-7463",BLACK,CALM/HAPPY
"2019-7464",BLACK,CALM/HAPPY
"2019-7465",BLACK,CALM/HAPPY
"2019-7466",BLACK,CALM/HAPPY
"2019-7467",BLACK,CALM AND HAPPY
"2019-7468",BLACK,CALM/HAPPY
"2019-7469",BLACK,CALM/HAPPY
"2019-7470",BLACK,CALM AND HAPPY
"2019-7471",BLACK,CALM
"2019-7472",BLACK,CALM/HAPPY
"2019-7473",BLACK,CALM AND HAPPY
"2019-7474",BLACK,CALM/ HAPPY
"2019-7475",BLACK,CALM AND HAPPY
"2019-7476",BLACK,CALM AND HAPPY
"2019-7477",BLACK,CALM AND HAPPY
"2019-7478",BLACK,CALM AND HAPPY
"2019-7479",BLACK,CALM AND HAPPY
"2019-7480",BLACK,CALM AND HAPPY
"2019-7481",BLACK,CALM AND HAPPY
"2019-7482",BLACK,CALM AND HAPPY
"2019-7483",BLACK,CALM AND HAPPY
"2019-7484",BLACK,CALM AND HAPPY
"2019-7485",BLACK,OK
"2019-7486",BLACK,VERY ANGRY
"2019-7487",WHITE,AGGITATED
"2019-7488",BLACK,CALM
"2019-7489",BLACK,CALM
"2019-7491",BLACK,UPSET
"2019-7492",BLACK,UPSET
"2019-7493",BLACK,NERVOUS
"2019-7494",BLACK,CALM
"2019-7495",BLACK,VERY COOPERATIVE AND AT THE END HAPPY TO HELP
"2019-7496",BLACK,AGITATED
"2019-7497",WHITE HISPANIC,CALM
"2019-7498",WHITE,NERVOUS
"2019-7499",BLACK,CALM
"2019-7500",BLACK,CALM
"2019-7501",BLACK,AGGREVATED
"2019-7502",BLACK,AGGRAVATED
"2019-7503",WHITE HISPANIC,SUBJECT WAS CALM
"2019-7504",WHITE HISPANIC,CALM
"2019-7506",BLACK,UPSET
"2019-7531",BLACK,CONFUSED BUT CALM
"2019-7507",BLACK,AGRESSIVE
"2019-7508",BLACK,AGITATED
"2019-7509",BLACK,CALM
"2019-7510",BLACK,NORMAL
"2019-7511",BLACK,ANGRY
"2019-7512",BLACK,NERVOUS
"2019-7513",BLACK,NERVOUS-TALKATIVE-FIDGETY
"2019-7514",BLACK,ANNOYED
"2019-7515",BLACK,CALM
"2019-7516",BLACK,ANNOYED
"2019-7517",BLACK,AGGRAVATED
"2019-7518",BLACK,AGITATED
"2019-7519",BLACK,CONFUSED
"2019-7520",BLACK,"""AFRAID"""
"2019-7521",BLACK,UPSET
"2019-7522",BLACK,INTOXICATED
"2019-7523","",NERVOUS
"2019-7524",BLACK,UPSET
"2019-7525",BLACK,CALM
"2019-7526",BLACK,CALM
"2019-7527",BLACK,CALM
"2019-7528",BLACK,CALM
"2019-7529",BLACK,OUT OF BREATH
"2019-7530",BLACK,CALM
"2019-7532",BLACK,CALM
"2019-7533",BLACK,CALM
"2019-7534",BLACK,CALM
"2019-7535",BLACK,CALM
"2019-7536",BLACK,OUT OF BREATH
"2019-7537",BLACK,OUT OF BREATH.
"2019-7538",BLACK,OUT OF BREATH
"2019-7539",BLACK,OUT OF BREATH.
"2019-7540",BLACK,UPSET
"2019-7541",BLACK,CALM AND COOPERATIVE
"2019-7542",BLACK,CALM
"2019-7543",BLACK,CONFUSED
"2019-7544",BLACK,AGITATED
"2019-7545",BLACK,ANNOYED
"2019-7546",BLACK,CALM
"2019-7547",BLACK,INTOXICATED BUT COOPERATIVE
"2019-7548",ASIAN / PACIFIC ISLANDER,NERVOUS
"2019-7549",ASIAN / PACIFIC ISLANDER,NERVOUS
"2019-7550",ASIAN / PACIFIC ISLANDER,NERVOUS
"2019-7551",BLACK,CALM
"2019-7552",WHITE,NORMAL
"2019-7553",BLACK HISPANIC,NERVOUS
"2019-7554",BLACK,NERVOUS
"2019-7555",BLACK,CALM
"2019-7556",BLACK,ANNOYED
"2019-7557",BLACK,"HOSTILE, IRATE, UNCOOPERATIVE"
"2019-7558",BLACK,CALM
"2019-7559",BLACK,COOPERATIVE BUT FRUSTRATED
"2019-7560",BLACK,ANNOYED
"2019-7561",WHITE HISPANIC,CALM
"2019-7562",BLACK,"AGITATED, UNCOOPERATIVE"
"2019-7563",BLACK,CALM AND UNDERSTANDING
"2019-7564",BLACK,NERVOUS
"2019-7565",BLACK,CALM
"2019-7566",BLACK,CALM
"2019-7567",BLACK,ANNOYED
"2019-7568",BLACK,NERVOUS AND CONFRONTATIONAL
"2019-7569",BLACK,UPSET AND AGGITATIVE
"2019-7570",BLACK,CALM
"2019-7571",BLACK,SHOCKED
"2019-7572",BLACK,NERVOUS
"2019-7573",BLACK,"CALM, COOPERATIVE"
"2019-7574",WHITE,UPSET
"2019-7575",WHITE HISPANIC,AGGITATED
"2019-7576",WHITE,CALM
"2019-7577",WHITE,CALM
"2019-7578",BLACK,CALM
"2019-7579",BLACK,UPSET
"2019-7580",BLACK,CALM
"2019-7581",BLACK,UPSET
"2019-7582",WHITE,NERVOUS
"2019-7583",BLACK,NERVOUS
"2019-7584",BLACK HISPANIC,AGITATED
"2019-7585",BLACK,ANNOYED
"2019-7586",BLACK,ANNOYED
"2019-7587",BLACK,"ANGRY, IRRATE AND COMBATIVE"
"2019-7588",BLACK,AGITATED
"2019-7589",BLACK,"CALM, UNDERSTANDING"
"2019-7590",BLACK,"ANXIOUS, SWEATING"
"2019-7591",BLACK,CALM
"2019-7592",WHITE,CALM
"2019-7593",BLACK,CALM
"2019-7594",BLACK,UPSET
"2019-7595",BLACK,"UPSET, CRYING"
"2019-7596",BLACK,"UPSET, CAREFREE"
"2019-7597",BLACK,UPSET
"2019-7598",BLACK,CALM
"2019-7600",BLACK,OUT OF BREATH      CONFRONTATIONAL
"2019-7601",WHITE,COMPLIANT
"2019-7602",WHITE HISPANIC,COMPLIANT
"2019-7603",WHITE HISPANIC,COMPLIANT
"2019-7604",BLACK,ANGRY
"2019-7605",BLACK,CALM
"2019-7606",WHITE HISPANIC,HAPPY
"2019-7607",WHITE HISPANIC,AGITATED
"2019-7608",WHITE HISPANIC,NORMAL
"2019-7609",WHITE HISPANIC,"UPSET, BUT VERY UNDERSTANDING"
"2019-7610",BLACK,NERVOUS
"2019-7611",BLACK,NERVOUS
"2019-7612",BLACK,COOPERATIVE
"2019-7613",BLACK,CALM
"2019-7614",BLACK,AGGRESSIVE
"2019-7615",BLACK,CALM
"2019-7616",BLACK,NERVOUS SWEATING
"2019-7617",BLACK,ERRATIC
"2019-7618",BLACK,UPSET
"2019-7619",BLACK,CALM
"2019-7620",BLACK,AGGITATED
"2019-7621",WHITE HISPANIC,NERVOUSE
"2019-7622",BLACK,"CALM, NON COMPLAINANT"
"2019-7623",BLACK,AGGITATED
"2019-7624",BLACK,CALM
"2019-7625",BLACK HISPANIC,CALM
"2019-7626",BLACK,CALM
"2019-7627",BLACK HISPANIC,CLAM AND COMPLIANT
"2019-7628",BLACK,UPSET
"2019-7629",WHITE HISPANIC,CALM
"2019-7630",WHITE,AGITATED
"2019-7631",BLACK,ANGRY
"2019-7632",BLACK HISPANIC,NERVOUS
"2019-7633",WHITE,NERVOUS
"2019-7634",BLACK,CALM/SATISFIED
"2019-7635",BLACK,"AGGRESSIVE, NON-COMPLIANT"
"2019-7636",BLACK,NERVOUS
"2019-7637",BLACK,NERVOUS
"2019-7638",WHITE,TALKATIVE AND MOVED AROUND ALOT AND SWEATED PROFUSELY
"2019-7639",WHITE HISPANIC,"TALKED AND MOVED AROUND ALOT, ACTED NERVOUS"
"2019-7640",BLACK,ANNOYED
"2019-7641",WHITE HISPANIC,NORMAL
"2019-7642",WHITE HISPANIC,NORMAL
"2019-7643",WHITE HISPANIC,NORMAL
"2019-7644",BLACK,NORMAL
"2019-7645",WHITE HISPANIC,CALM
"2019-7646",BLACK,CALM
"2019-7647",WHITE HISPANIC,CALM
"2019-7648",WHITE HISPANIC,CALM
"2019-7649",BLACK,UPSET
"2019-7650",BLACK,CALM
"2019-7651",BLACK,NORMAL
"2019-7652",BLACK,CALM
"2019-7653",BLACK,CALM
"2019-7654",BLACK,"HOSTILE, DID NOT COOPERATE"
"2019-7655",BLACK,CALM
"2019-7656",BLACK,CALM
"2019-7657",BLACK,CALM
"2019-7658",BLACK,CALM
"2019-7659",BLACK,NORMAL
"2019-7660",BLACK,CALM
"2019-7661",BLACK,NORMAL
"2019-7662",BLACK,HOSTILE
"2019-7663",BLACK,NORMAL
"2019-7664",BLACK,HOSTILE
"2019-7665",BLACK,NORMAL
"2019-7666",BLACK,AGGITATED
"2019-7667",BLACK,HOSTILE
"2019-7668",BLACK,CALM
"2019-8770",BLACK,CALM
"2019-7669",BLACK,CALM
"2019-7670",WHITE,CALM
"2019-7671",BLACK,CALM AND UNDERSTANDING
"2019-7672",WHITE HISPANIC,RELAXED
"2019-7673",BLACK,NORMAL
"2019-7674",BLACK,NORMAL
"2019-7675",BLACK,NORMAL
"2019-7676",BLACK,NORMAL
"2019-7677",BLACK,NORMAL
"2019-7678",BLACK,IN A HURRY
"2019-7679",WHITE HISPANIC,CALM
"2019-7680",BLACK,IRATE
"2019-7681",WHITE,CALM
"2019-7682",BLACK,CALM
"2019-7683",BLACK HISPANIC,CALM
"2019-7684",BLACK,NORMAL
"2019-7685",BLACK,"NERVOUS, UPSET"
"2019-7686",BLACK,NORMAL
"2019-7687",BLACK,CALM
"2019-7688",BLACK,UNDERSTOOD REASON FOR STOP
"2019-7689",BLACK,UNDERSTOOD REASON FOR STOP
"2019-7690",BLACK,UNDERSTOOD REASON FOR STOP
"2019-7691",BLACK,UNDERSTOOD REASON FOR STOP
"2019-7692",BLACK,CALM
"2019-8820",BLACK,NORMAL
"2019-7693",BLACK,COMPLIANT
"2019-7694",BLACK,CALM
"2019-7695",BLACK,CALM
"2019-7696",BLACK,FLUSTERED
"2019-7697",WHITE,CALM
"2019-7698",BLACK,CALM
"2019-7699",BLACK,VERY SORRY FOR RUNNING AWAY
"2019-7700",BLACK,NERVOUS
"2019-7703",BLACK,NORMAL/QUIET
"2019-7704",BLACK,UPSET
"2019-7705",BLACK,CALM
"2019-7706",BLACK,CALM
"2019-7707",BLACK,CALM
"2019-7708",BLACK,CALM
"2019-7709",BLACK,"ANXIOUS, NERVOUS, DEFIANT"
"2019-7710",BLACK,"ANXIOUS, NERVOUS,  DEFIANT"
"2019-7711",WHITE HISPANIC,"NERVOUS, EXHUASTED"
"2019-7712",BLACK,IRATE
"2019-7713",BLACK,CALM
"2019-7714",BLACK,CALM
"2019-7715",BLACK,IRRATE
"2019-7716",BLACK,CALM
"2019-7717",BLACK,COOL
"2019-7718",BLACK,UNCOOPERATIVE
"2019-7719",BLACK,IRRITATED/ INTOXICATED
"2019-7720",BLACK,APPARENTLY NORMAL
"2019-7721",WHITE HISPANIC,SURPRISED
"2019-7722",BLACK,CALM
"2019-7723",BLACK,CALM
"2019-7724",BLACK,CALM
"2019-7726",BLACK,UPSET
"2019-7727",BLACK,CALM
"2019-7728",BLACK,APPARENTLY NORMAL
"2019-7729",BLACK,APPARENTLY NORMAL
"2019-7730",BLACK,APPARENTLY NORMAL
"2019-7731",BLACK,APPARENTLY NORMAL
"2019-7732",BLACK,APPARENTLY NORMAL
"2019-7733",BLACK,APPARENTLY NORMAL
"2019-7734",BLACK,CALM
"2019-7735",BLACK,NERVOUS
"2019-7736",BLACK,CALM
"2019-7737",BLACK,CALM
"2019-7739",BLACK,INTOXICATED
"2019-7742",BLACK,CALM
"2019-7743",BLACK,CONFUSED
"2019-7745",BLACK,CALM
"2019-7746",BLACK,APPARENTLY NORMAL
"2019-7747",BLACK,CONFUSED
"2019-7748",BLACK,APPARENTLY NORMAL
"2019-7750",BLACK,UPSET
"2019-7752",BLACK,COMBATIVE
"2019-7753",BLACK,ANGRY
"2019-7754",WHITE,POLITE
"2019-7755",BLACK,COMPLIANT FRIENDLY
"2019-7757",BLACK,COMBATIVE AND IRATE
"2019-7758",BLACK,COMBATIVE
"2019-7759",BLACK,NERVOUS
"2019-7761",BLACK,INDIFFERENT
"2019-7762",BLACK,UNINTERESTED
"2019-7763",BLACK,INDIFFERENT
"2019-7764",BLACK,CALM
"2019-7765",BLACK,CALM
"2019-7766",BLACK,UNCOOPERATIVE
"2019-7767",BLACK,NERVOUS
"2019-7768",BLACK,NERVOUS
"2019-7769",BLACK,SMILING
"2019-7770",BLACK,UPSET
"2019-7773",WHITE,APPARENTLY NORMAL
"2019-7774",BLACK HISPANIC,UNCOOPERATIVE
"2019-7775",BLACK,IRATE
"2019-7776",BLACK,NERVOUS
"2019-7783",BLACK,CALM
"2019-7784",BLACK,CONFUSED
"2019-7785",BLACK,AGGRAVATED
"2019-7786",BLACK HISPANIC,QUIET
"2019-7787",BLACK,NERVOUS
"2019-7788",WHITE,INSIDE THE SYNAGOGUE
"2019-7789",BLACK,DISRESPECTUL
"2019-7790",BLACK,UPSET BUT CALM
"2019-7791",BLACK,ARGUMENTATIVE
"2019-7792",BLACK,COMBATIVE
"2019-7793",BLACK,UNCOOPERATIVE
"2019-7794",BLACK,COOPERATIVE
"2019-7795",BLACK,AGGRESSIVE
"2019-7796",BLACK,COOPERATIVE
"2019-7797",BLACK,NERVOUS
"2019-7798",BLACK,COOPERATIVE
"2019-7799",BLACK,COOPERATIVE
"2019-7800",BLACK,CALM AND UNDERSTANDING
"2019-7801",BLACK,CALM
"2019-7805",BLACK,CALM
"2019-7806",BLACK,CALM
"2019-7807",BLACK,CALM
"2019-7808",BLACK,CALM
"2019-7809",BLACK,NORMAL
"2019-7810",BLACK,NORMAL
"2019-7811",BLACK,CALM
"2019-7812",BLACK,CONFUSED
"2019-7813",BLACK,CALM
"2019-7814",BLACK,CALM
"2019-7815",BLACK,COMBATIVE
"2019-7816",BLACK,IRATE
"2019-7817",BLACK,NERVOUS
"2019-7818",BLACK,CALM
"2019-7819",BLACK,CALM
"2019-7820",BLACK,CALM
"2019-7821",BLACK,CALM
"2019-7822",BLACK,APPARENTLY NORMAL
"2019-7823",WHITE,CALM
"2019-7824",BLACK,UNCOOPERATIVE AND ANGER
"2019-7825",BLACK,UNCOOPERATIVE
"2019-7826",BLACK,APPARENTLY NORMAL
"2019-7827",BLACK,APPARENTLY NORMAL
"2019-7828",BLACK,CONFUSED
"2019-7829",WHITE HISPANIC,CALM
"2019-7830",BLACK,UPSET.
"2019-7831",BLACK,APPARENTLY NORMAL
"2019-7832",BLACK,CALM
"2019-7833",BLACK,"SWEATING, RAPID BREATHING, NERVOUS DEMEANOR"
"2019-7834",BLACK,NERVOUS
"2019-7836",BLACK,CALM
"2019-7837",BLACK,UNCOOPERATIVE
"2019-7839",BLACK,UPSET
"2019-7840",BLACK,CALM
"2019-7841",BLACK,UPSET/COOPERATIVE
"2019-7842",BLACK,CALM
"2019-7843",WHITE HISPANIC,NORMAL
"2019-7844",BLACK,"UNCOOPERATIVE, PULLING AWAY"
"2019-7845",BLACK,NERVOUS/AGGITATED
"2019-7848",BLACK,COMPLIANT
"2019-7849",BLACK,CONFUSED
"2019-7850",BLACK,CALM
"2019-7851",BLACK,CALM
"2019-7852",WHITE,COMBATIVE
"2019-7853",BLACK,CALM
"2019-7854",WHITE HISPANIC,CALM
"2019-7855",BLACK,CALM
"2019-7857",WHITE HISPANIC,OKAY
"2019-7858",BLACK,OKAY
"2019-7859",BLACK,UNDERSTANDING
"2019-7860",BLACK,FLED ON FOOT.
"2019-7861",BLACK,COMPLIANT
"2019-7862",BLACK,AGITATED
"2019-7865",WHITE HISPANIC,NERVOUS
"2019-7866",BLACK,UPSET
"2019-7867",BLACK,APPARENTLY NORMAL
"2019-7868",BLACK,CALM
"2019-7869",BLACK,COMPLY
"2019-7870",BLACK,NERVOUS
"2019-7871",BLACK,CALM
"2019-7872",BLACK,CALM
"2019-7873",BLACK,CALM
"2019-7876",BLACK,APPARENTLY NORMAL
"2019-7877",BLACK,CALM
"2019-7878",BLACK,NORMAL
"2019-7879",BLACK,NORMAL
"2019-7880",BLACK,CALM
"2019-7881",BLACK,CALM
"2019-7882",BLACK,CALM
"2019-7883",WHITE HISPANIC,CALM
"2019-7884",BLACK,NERVOUS
"2019-7885",WHITE HISPANIC,NERVOUS
"2019-7886",BLACK,NERVOUS/UPSET
"2019-7887",BLACK,NORMAL
"2019-7888",BLACK,RELAXED
"2019-7889",BLACK,NERVOUS
"2019-7890",BLACK,CALM
"2019-7891",BLACK,"NERVOUS, SCARED"
"2019-7892",BLACK,ANGRY
"2019-7893",BLACK,CALM
"2019-7894",BLACK,CALM
"2019-7895",BLACK,NERVOUS
"2019-7896",BLACK,UPSET
"2019-7897",BLACK,CALM
"2019-7898",BLACK,UNCOOPERATIVE
"2019-7899",BLACK,UPSET
"2019-7900",WHITE HISPANIC,IRRATE
"2019-7901",BLACK,NERVOUS
"2019-7902",BLACK,NERVOUS
"2019-7903",BLACK,CALM
"2019-7904",BLACK,CALM
"2019-7905",BLACK,NORMAL
"2019-7906",BLACK,CALM
"2019-7907",BLACK,SOMEWHAT UPSET
"2019-7909",BLACK,NERVOUS
"2019-7910",BLACK,NERVOUS
"2019-7911",BLACK,UPSET
"2019-7912",BLACK,CALM
"2019-7913",BLACK,CALM
"2019-7914",BLACK,AGGRESSIVE / UNCOOPERATIVE
"2019-7915",BLACK,AGGRESSIVE / UNCOOPERATIVE
"2019-7916",BLACK,AGGRESSIVE / UNCOOPERATIVE
"2019-7917",BLACK,NERVOUS
"2019-7918",BLACK,UPSET
"2019-7919",BLACK,CALM
"2019-7920",BLACK,CALM
"2019-7923",BLACK,UPSET
"2019-7925",WHITE,CALM
"2019-7926",BLACK,ERRATIC
"2019-7927",WHITE,"COOPERATIVE, CALM"
"2019-7928",WHITE HISPANIC,CALM
"2019-7929",WHITE HISPANIC,CALM
"2019-7930",WHITE,UPSET
"2019-7931",BLACK HISPANIC,CONCERNED
"2019-7932",WHITE HISPANIC,ANGRY
"2019-7933",BLACK,COMPLIANT
"2019-7934",WHITE HISPANIC,UPSET
"2019-7935",WHITE HISPANIC,CALM
"2019-7936",BLACK,CALM
"2019-7937",WHITE HISPANIC,CALM
"2019-7938",WHITE HISPANIC,CALM
"2019-7939",WHITE HISPANIC,CALM
"2019-7940",WHITE HISPANIC,UPSET
"2019-7941",WHITE HISPANIC,CALM
"2019-7942",BLACK,CALM
"2019-7943",BLACK,CONFUSED
"2019-7944",BLACK,NERVOUS
"2019-7945","",NERVOUS
"2019-7946",WHITE,NERVOUS
"2019-7947",WHITE HISPANIC,NERVOUS
"2019-7948",WHITE HISPANIC,CALM
"2019-7949",WHITE HISPANIC,CALM
"2019-7950",WHITE HISPANIC,CALM
"2019-7952",WHITE HISPANIC,CALM
"2019-7953",WHITE HISPANIC,"UPSET, COMBATIVE"
"2019-7954",WHITE,IRRATIONAL
"2019-7955",WHITE,FRUSTRATED
"2019-7956",BLACK HISPANIC,NORMAL
"2019-7957",WHITE HISPANIC,"NERVOUS,"
"2019-7958",WHITE HISPANIC,"NERVOUS, SWEATING"
"2019-7959",WHITE HISPANIC,NERVOUS
"2019-7960",WHITE HISPANIC,"NERVOUS, SWEATING"
"2019-7961",ASIAN / PACIFIC ISLANDER,NERVOUS
"2019-7981",WHITE HISPANIC,SAD
"2019-7982",BLACK,CALM
"2019-7983",BLACK,ANGRY
"2019-7984",BLACK,COMPLIANT
"2019-7985",WHITE HISPANIC,IRATE
"2019-7986",WHITE HISPANIC,IRATE
"2019-7987",BLACK,QUIET
"2019-7988",BLACK,CALM
"2019-7989",WHITE HISPANIC,AGGRAVATED
"2019-7990",BLACK,NERVOUS
"2019-7991",WHITE HISPANIC,AGITATED
"2019-7992",WHITE HISPANIC,CALM
"2019-7994",WHITE HISPANIC,ANNOYED
"2019-7995",WHITE HISPANIC,CALM
"2019-7996",WHITE,SCRARED
"2019-7997",WHITE HISPANIC,NORMAL
"2019-7999",WHITE,IRRATE AND INTOXICATED
"2019-8000",WHITE HISPANIC,ANGRY
"2019-8002",BLACK,"DIS-SHEVELED CLOTHING, NERVOUS, AND UNABLE TO STAND STRAIGHT"
"2019-8003",BLACK,NERVOUS
"2019-8004",WHITE HISPANIC,CONFUSED
"2019-8005",WHITE HISPANIC,UNDERSTANDING
"2019-8006",WHITE HISPANIC,NERVOUS
"2019-8007",BLACK,ANGRY
"2019-8008",WHITE,NERVOUS
"2019-8009",BLACK HISPANIC,NORMAL
"2019-8010",WHITE HISPANIC,CONFUSED
"2019-8011",WHITE HISPANIC,CONFUSED
"2019-8012",BLACK,CALM
"2019-8013",WHITE HISPANIC,AGGITATED.
"2019-8014",WHITE HISPANIC,UPSET
"2019-8015",ASIAN / PACIFIC ISLANDER,QUIET
"2019-8016",BLACK,CALM
"2019-8017",WHITE HISPANIC,CALM
"2019-8018",BLACK,TALKATIVE
"2019-8019",WHITE HISPANIC,CALM
"2019-8020",WHITE HISPANIC,CALM
"2019-8021",WHITE HISPANIC,CALM
"2019-8022",WHITE HISPANIC,"IRATE, NERVOUS"
"2019-8023",WHITE,NERVOUS
"2019-8024",WHITE,NERVOUS
"2019-8025",WHITE HISPANIC,NORMAL
"2019-8026",BLACK HISPANIC,CALM
"2019-8027",WHITE HISPANIC,NERVOUS
"2019-8028",WHITE HISPANIC,NERVOUS
"2019-8029",WHITE,CALM
"2019-8030",WHITE,CALM
"2019-8031",WHITE HISPANIC,N/A
"2019-8032",BLACK HISPANIC,CALM
"2019-8033",BLACK HISPANIC,CALM
"2019-8034",WHITE HISPANIC,CALM
"2019-8035",WHITE HISPANIC,CALM
"2019-8036",WHITE HISPANIC,CALM
"2019-8037",WHITE HISPANIC,COMPLIANT
"2019-8038",BLACK,CALM AND COOPERATIVE
"2019-8039",BLACK,CALM AND COOPERATIVE
"2019-8040",WHITE HISPANIC,NERVOUS
"2019-8041",WHITE HISPANIC,CALM
"2019-8042",ASIAN / PACIFIC ISLANDER,CALM
"2019-8043",WHITE,CALM
"2019-8044",ASIAN / PACIFIC ISLANDER,CALM
"2019-8049",BLACK,NERVOUS
"2019-8050",BLACK HISPANIC,AGITATED
"2019-8051",WHITE HISPANIC,UPSET
"2019-8052",ASIAN / PACIFIC ISLANDER,CALM
"2019-8053",WHITE HISPANIC,UPSET
"2019-8054",WHITE HISPANIC,AGRESSIVE
"2019-8055",WHITE HISPANIC,AGGRESSIVE
"2019-8056",BLACK,NERVOUS
"2019-8057",WHITE HISPANIC,PERSON WAS OPEN WITH NYPD AND GIVE INFORMATION WITHOUT BEING ASKED .
"2019-8058",WHITE HISPANIC,UPSET
"2019-8059",BLACK,CALM AND UNDERSTANDING FOR THE STOP
"2019-8060",WHITE HISPANIC,CALM
"2019-8061",WHITE HISPANIC,STARTLED
"2019-8062",BLACK,ANNOYED
"2019-8063",BLACK HISPANIC,CALM
"2019-8064",BLACK,THE  PERSON STOPPED WAS UPSET AND DID NOT WANT TO SPEAK WITH PD .
"2019-8069",WHITE HISPANIC,CALM
"2019-8071",BLACK,"THE ABOVE INDIVIUAL STOPPED, WAS UPSET AND DID NOT WANT TO SPEAK WITH PD."
"2019-8072",BLACK HISPANIC,CALM
"2019-8073",BLACK HISPANIC,CALM
"2019-8074",BLACK HISPANIC,CALM
"2019-8075",WHITE HISPANIC,COMPLIANT
"2019-8076",BLACK,ANNOYED
"2019-8077",WHITE HISPANIC,AGITATED
"2019-8078",WHITE HISPANIC,CALM
"2019-8079",BLACK,NORMAL
"2019-8080",WHITE HISPANIC,NERVOUS
"2019-8081",WHITE HISPANIC,NERVOUS
"2019-8082",WHITE HISPANIC,NERVOUS
"2019-8083",ASIAN / PACIFIC ISLANDER,CALM
"2019-8084",ASIAN / PACIFIC ISLANDER,CALM
"2019-8085",ASIAN / PACIFIC ISLANDER,CALM
"2019-8086",ASIAN / PACIFIC ISLANDER,CALM
"2019-8087",WHITE HISPANIC,CALM
"2019-8088",WHITE HISPANIC,NERVOUS
"2019-8089",WHITE HISPANIC,CALM
"2019-8090",WHITE HISPANIC,CALM
"2019-8091",BLACK HISPANIC,CALM
"2019-8092",BLACK,AGGITATED
"2019-8093",WHITE HISPANIC,NERVOUS
"2019-8094",WHITE HISPANIC,CALM
"2019-8096",BLACK HISPANIC,INTOXICATED
"2019-8097",ASIAN / PACIFIC ISLANDER,HIGHLY INTOX
"2019-8098","",HIGHLY INTOX
"2019-8099",WHITE HISPANIC,CALM
"2019-8101",BLACK,UPSET
"2019-8102",BLACK,IRRATE
"2019-8103",BLACK,CALM
"2019-8104",BLACK,NORMAL
"2019-8106",BLACK,CALM
"2019-8107",BLACK,NORMAL
"2019-8108",BLACK,"HIGHLY UNCOOPERATIVE, DISORDERLY"
"2019-8109",BLACK,CALM
"2019-8110",BLACK,HIGH
"2019-8111",BLACK,UPSET CALM
"2019-8114",BLACK,UNCOOPERATIVE AND VERBALLY COMBATIVE
"2019-8115",BLACK,UNCOOPERATIVE AND VERBALLY COMBATIVE
"2019-8116",BLACK,CALM AFTER OFFICER EXPLAINED SITUATION
"2019-8118",BLACK,CALM COOPERATIVE
"2019-8119",BLACK,UPSET
"2019-8120",BLACK,"HOSTILE, DISORDERLY, AGGRESSIVE, UNCOOPERATIVE, VULGAR"
"2019-8121",BLACK,CALM
"2019-8122",BLACK,UPSET
"2019-8123",BLACK,CALM
"2019-8124",BLACK,ANNOYED
"2019-8125",BLACK,INTOXICATED
"2019-8126",BLACK,CALM
"2019-8127",BLACK,CALM
"2019-8128",BLACK,CALM
"2019-8129",BLACK,CALM
"2019-8130",BLACK,CALM
"2019-8131",BLACK,ANGRY
"2019-8132",BLACK,UPSET
"2019-8133",BLACK,ANGRY
"2019-8134",BLACK,UPSET
"2019-8135",BLACK,UNCOOPERATIVE
"2019-8136",BLACK,UNCOOPERATIVE
"2019-8137",BLACK,UNCOOPERATIVE
"2019-8138",BLACK,UNCOOPERATIVE
"2019-8139",BLACK,UNCOOPERATIVE
"2019-8140",BLACK,CALM
"2019-8141",BLACK,CALM
"2019-8142",BLACK,CALM
"2019-8144",BLACK,CALM
"2019-8145",BLACK,CALM
"2019-8147",BLACK,ANGRY
"2019-8148",BLACK,OUT OF BREATH
"2019-8149",BLACK,CALM
"2019-8150",BLACK,CALM
"2019-8151",BLACK,CALM
"2019-8152",BLACK,COOPERATIVE
"2019-8153",WHITE HISPANIC,COOPERATIVE
"2019-8154",BLACK,ANGRY/IRATE
